Issuer Name,Issuer Homepage,MSRB Issuer Identifier,Issuer Type,Date Retrieved,State Abbreviation,State FIPS
ALASKA HOUSING FINANCE CORPORATION,https://emma.msrb.org/IssuerHomePage/Issuer?id=F185C01DC47A19B2E043161E0A0A841E&type=M,F185C01DC47A19B2E043161E0A0A841E,State,03/28/2024,AK,02
ALASKA ENERGY AUTH PWR REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=F5951770BF67081255C8235928148878&type=G,F5951770BF67081255C8235928148878,State,03/28/2024,AK,02
ALASKA ENERGY AUTH REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=718C59529B399E24BDE58B834BD5DC04&type=G,718C59529B399E24BDE58B834BD5DC04,State,03/28/2024,AK,02
ALASKA ENERGY AUTH UTIL REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=E9360C841788A9F3FDA51E2C65FB922E&type=G,E9360C841788A9F3FDA51E2C65FB922E,State,03/28/2024,AK,02
ALASKA INDL DEV & EXPT AUTH,https://emma.msrb.org/IssuerHomePage/Issuer?id=CCBB023554D7B730C9BE2B3AB223F154&type=G,CCBB023554D7B730C9BE2B3AB223F154,State,03/28/2024,AK,02
ALASKA INDL DEV & EXPT AUTH CMNTY PROVIDER REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=16B98A1A2FE3CF1D3916B8709FE32306&type=G,16B98A1A2FE3CF1D3916B8709FE32306,State,03/28/2024,AK,02
ALASKA INDL DEV & EXPT AUTH EXEMPT FAC REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=1E40F035CD995D92EFA52D14C4693CDA&type=G,1E40F035CD995D92EFA52D14C4693CDA,State,03/28/2024,AK,02
ALASKA INDL DEV & EXPT AUTH INDL DEV REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=36FD08AEAC22CF973A1B8A15579210B5&type=G,36FD08AEAC22CF973A1B8A15579210B5,State,03/28/2024,AK,02
ALASKA INDL DEV & EXPT AUTH LEASE REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=3B2271BAEC26F0F202C30A569491D80A&type=G,3B2271BAEC26F0F202C30A569491D80A,State,03/28/2024,AK,02
ALASKA INDL DEV & EXPT AUTH LN ANTIC REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=C305A4C2600D74C086E779F14CBCD326&type=G,C305A4C2600D74C086E779F14CBCD326,State,03/28/2024,AK,02
ALASKA INDL DEV & EXPT AUTH PWR REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=0A9D4DF4C11DFDADEFA4B12ED366C306&type=G,0A9D4DF4C11DFDADEFA4B12ED366C306,State,03/28/2024,AK,02
ALASKA INDL DEV & EXPT AUTH REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=CB1F290E550DA63E2A0CE96E65AC8CBD&type=G,CB1F290E550DA63E2A0CE96E65AC8CBD,State,03/28/2024,AK,02
ALASKA INDL DEV & EXPT AUTH SPORTS FACS REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=26D245FF8B4B84912AC22E402351CC5B&type=G,26D245FF8B4B84912AC22E402351CC5B,State,03/28/2024,AK,02
ALASKA INDL DEV AUTH,https://emma.msrb.org/IssuerHomePage/Issuer?id=1D9E92842E4AD856FCCE435226BFAB3B&type=G,1D9E92842E4AD856FCCE435226BFAB3B,State,03/28/2024,AK,02
ALASKA INDL DEV AUTH ARPT FACS REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=E08E20EAD471E6D7AC0FFEAC4F55AADB&type=G,E08E20EAD471E6D7AC0FFEAC4F55AADB,State,03/28/2024,AK,02
ALASKA INDL DEV AUTH PORT FAC REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=EE5027C5372F9735DEA776F78F5BCFAD&type=G,EE5027C5372F9735DEA776F78F5BCFAD,State,03/28/2024,AK,02
ALASKA INDL DEV AUTH REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=ABE02C91DC0DD3B89791768136354B0A&type=G,ABE02C91DC0DD3B89791768136354B0A,State,03/28/2024,AK,02
ALASKA MED FAC AUTH 1ST MTG HOSP REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=DDF964D7BECB779189F645C6241D66FA&type=G,DDF964D7BECB779189F645C6241D66FA,State,03/28/2024,AK,02
ALASKA MUN BD BK ALASKA MUN B BK AUTH,https://emma.msrb.org/IssuerHomePage/Issuer?id=44A6A9D881271367B92B536A7F661C1C&type=G,44A6A9D881271367B92B536A7F661C1C,City,03/28/2024,AK,02
ALASKA MUN BD BK ALASKA MUN BD BK AUTH,https://emma.msrb.org/IssuerHomePage/Issuer?id=ED05A58BEFFAF23B0C228B4515543A88&type=G,ED05A58BEFFAF23B0C228B4515543A88,City,03/28/2024,AK,02
ALASKA MUN BD BK AUTH,https://emma.msrb.org/IssuerHomePage/Issuer?id=3834966F0E31AD5848806184AFF3A8DE&type=G,3834966F0E31AD5848806184AFF3A8DE,State,03/28/2024,AK,02
ALASKA MUN BD BK AUTH REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=A4AFA486D04BFDE2B53C8F200D835ACF&type=G,A4AFA486D04BFDE2B53C8F200D835ACF,State,03/28/2024,AK,02
ALASKA MUN BD BK ELEC REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=978130AE6EACC20F66D1E26766340BE4&type=G,978130AE6EACC20F66D1E26766340BE4,State,03/28/2024,AK,02
ALASKA PWR AUTH,https://emma.msrb.org/IssuerHomePage/Issuer?id=6E37D5936A4428834A90CE576214C163&type=G,6E37D5936A4428834A90CE576214C163,State,03/28/2024,AK,02
ALASKA RR CORP CAP GRNT RCPTS,https://emma.msrb.org/IssuerHomePage/Issuer?id=C0B6490BADD50E35C0A446991DB8619C&type=G,C0B6490BADD50E35C0A446991DB8619C,State,03/28/2024,AK,02
ALASKA RR CORP CTFS PARTN,https://emma.msrb.org/IssuerHomePage/Issuer?id=061B2E507CB5B9473AEA68C243E37D4B&type=G,061B2E507CB5B9473AEA68C243E37D4B,State,03/28/2024,AK,02
ALASKA ST,https://emma.msrb.org/IssuerHomePage/Issuer?id=22EA0F9EFA1A1A518565B342A7DEA655&type=G,22EA0F9EFA1A1A518565B342A7DEA655,State,03/28/2024,AK,02
ALASKA ST COURT SYS CTFS PARTN,https://emma.msrb.org/IssuerHomePage/Issuer?id=9916AC37DAD1F62927F50B384CA80420&type=G,9916AC37DAD1F62927F50B384CA80420,State,03/28/2024,AK,02
ALASKA ST CTFS PARTN,https://emma.msrb.org/IssuerHomePage/Issuer?id=6ACB42E8C5B48B81C396B70BA447DAFC&type=G,6ACB42E8C5B48B81C396B70BA447DAFC,State,03/28/2024,AK,02
ALASKA ST DEPT ADMIN CTFS PARTN,https://emma.msrb.org/IssuerHomePage/Issuer?id=DBCA3B1A876D146CBF6DF06ACEF378BF&type=G,DBCA3B1A876D146CBF6DF06ACEF378BF,State,03/28/2024,AK,02
ALASKA ST HSG AUTH HSG REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=EC644700A19415D7F218E803656B970E&type=G,EC644700A19415D7F218E803656B970E,State,03/28/2024,AK,02
ALASKA ST HSG AUTH LEASE REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=34EB304CD21299E224F719E85D2DF5C6&type=G,34EB304CD21299E224F719E85D2DF5C6,State,03/28/2024,AK,02
ALASKA ST HSG AUTH NEW PUB HSG ANCHORAGE,https://emma.msrb.org/IssuerHomePage/Issuer?id=F56D66C3043ABE61C4BB518330C938AD&type=G,F56D66C3043ABE61C4BB518330C938AD,State,03/28/2024,AK,02
ALASKA ST HSG FIN CORP REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=60D3E54A973D7D4ADDE515F42E50327A&type=G,60D3E54A973D7D4ADDE515F42E50327A,State,03/28/2024,AK,02
ALASKA ST HSG FIN CORP TAXABLE DISC COML PAPER NTS 3/A2 YRS 1 & 2,https://emma.msrb.org/IssuerHomePage/Issuer?id=ED681C562CA9879486E3AC416522DEB7&type=G,ED681C562CA9879486E3AC416522DEB7,State,03/28/2024,AK,02
ALASKA ST HSG FIN CORP TAXABLE DISC COML PAPER NTS 3/A2 YRS 3 & 4,https://emma.msrb.org/IssuerHomePage/Issuer?id=01DEAC07A27ADB25DC5E3002270EE3E5&type=G,01DEAC07A27ADB25DC5E3002270EE3E5,State,03/28/2024,AK,02
ALASKA ST INTL ARPTS REVS,https://emma.msrb.org/IssuerHomePage/Issuer?id=846253060EE97A8299358DAA282B0542&type=G,846253060EE97A8299358DAA282B0542,State,03/28/2024,AK,02
ALASKA ST SEWARD STUDENT SVC CTR COML LEASE CTFS,https://emma.msrb.org/IssuerHomePage/Issuer?id=FEEE9E3C0D657DC428741EDE52B1014C&type=G,FEEE9E3C0D657DC428741EDE52B1014C,State,03/28/2024,AK,02
ALASKA ST SPORT FISHING REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=419661A28BE89879C7876768478AB522&type=G,419661A28BE89879C7876768478AB522,State,03/28/2024,AK,02
ALASKA STUDENT LN CORP ED LN REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=78239A291F0EFD2B78B819C6EB1EF36B&type=G,78239A291F0EFD2B78B819C6EB1EF36B,State,03/28/2024,AK,02
ALASKA STUDENT LN CORP REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=9F430AA536B27432C3F79F5598D5628D&type=G,9F430AA536B27432C3F79F5598D5628D,State,03/28/2024,AK,02
ALASKA STUDENT LN CORP STUDENT LN REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=8AE4A3478B0AA3AA63C53D90B2C18413&type=G,8AE4A3478B0AA3AA63C53D90B2C18413,State,03/28/2024,AK,02
ALEUTIANS EAST BUROUGH ALASKA PROJ REV,https://emma.msrb.org/IssuerHomePage/Issuer?id=8AE9C29533CE51B9179E92E6E89D38DE&type=G,8AE9C29533CE51B9179E92E6E89D38DE,City,03/28/2024,AK,02
ANCHORAGE ALASKA,https://emma.msrb.org/IssuerHomePage/Issuer?id=617C7FBD4580E78C605278AEFE748788&type=G,617C7FBD4580E78C605278AEFE748788,City,03/28/2024,AK,02
ANCHORAGE ALASKA ADDL MATURITIES IN 033160,https://emma.msrb.org/IssuerHomePage/Issuer?id=EE1C3FD623AD74D1F1C083483AC12D33&type=G,EE1C3FD623AD74D1F1C083483AC12D33,City,03/28/2024,AK,02
ANCHORAGE ALASKA CTFS PARTN,https://emma.msrb.org/IssuerHomePage/Issuer?id=108B860C649348A22DA5445E3B1CB02B&type=G,108B860C649348A22DA5445E3B1CB02B,City,03/28/2024,AK,02
ANCHORAGE ALASKA ELEC REV SUB LIEN TAX EXEMPT IAM COML PAPER NTS 3/A2 SER B-1,https://emma.msrb.org/IssuerHomePage/Issuer?id=68B8B22CF4E15AEA20225B36CC52764B&type=G,68B8B22CF4E15AEA20225B36CC52764B,City,03/28/2024,AK,02
